,VTTS ($/min),WTP ($),city_ID,city_name,cost_delta ($),cost_uam ($),dist_range,distance,inc_range,income,mode,purpose,trip_cost_m ($),trip_time_m (min),trip_time_saved (min),trip_time_uam (min),uam_pax_trips,uam_pkt,uam_ticket_cost,uam_utilization,uam_vehicle_trips,vertiport_density
69,2.25,-1370.8442468717167,3.0,Moscow,-1445.2509826004004,74.40673572868386,[154. 198.],176.0,[182000. 286000.],234000.0,personal_vehicle,business,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
70,2.25,-1295.4265258935425,3.0,Moscow,-1386.7182616222262,91.29173572868386,[198. 242.],220.0,[182000. 286000.],234000.0,personal_vehicle,business,47.15178688,203.41716356038765,-596.7014723437966,800.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
71,2.25,-1220.0088049153678,3.0,Moscow,-1328.1855406440516,108.17673572868385,[242. 286.],264.0,[182000. 286000.],234000.0,personal_vehicle,business,55.78178425600001,244.10059627246517,-567.018039631719,811.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
72,3.25,-2286.179595423023,3.0,Moscow,-2297.2675811517065,11.08798572868385,[ 0. 22.],11.0,[286000. 390000.],338000.0,personal_vehicle,business,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
73,3.25,-2263.3052468796313,3.0,Moscow,-2282.835732608315,19.53048572868385,[22. 44.],33.0,[286000. 390000.],338000.0,personal_vehicle,business,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
74,3.25,-2222.1530986118087,3.0,Moscow,-2250.1260843404925,27.972985728683852,[44. 66.],55.0,[286000. 390000.],338000.0,personal_vehicle,business,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
75,3.25,-2183.319120312188,3.0,Moscow,-2219.7346060408718,36.41548572868385,[66. 88.],77.0,[286000. 390000.],338000.0,personal_vehicle,business,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
76,3.25,-2146.7547216299577,3.0,Moscow,-2191.6127073586417,44.85798572868385,[ 88. 110.],99.0,[286000. 390000.],338000.0,personal_vehicle,business,23.419294096,102.12278491158182,-667.7458509926024,769.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
77,3.25,-2095.2239087679163,3.0,Moscow,-2152.7456444966,57.52173572868385,[110. 154.],132.0,[286000. 390000.],338000.0,personal_vehicle,business,29.891792128000002,124.23688178236371,-653.8817541218204,778.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
78,3.25,-1997.229151927591,3.0,Moscow,-2071.635887656275,74.40673572868386,[154. 198.],176.0,[286000. 390000.],338000.0,personal_vehicle,business,38.521789504000004,162.7337308483101,-626.3849050558741,789.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
79,3.25,-1892.127998237339,3.0,Moscow,-1983.4197339660227,91.29173572868386,[198. 242.],220.0,[286000. 390000.],338000.0,personal_vehicle,business,47.15178688,203.41716356038765,-596.7014723437966,800.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
80,3.25,-1787.0268445470867,3.0,Moscow,-1895.2035802757705,108.17673572868385,[242. 286.],264.0,[286000. 390000.],338000.0,personal_vehicle,business,55.78178425600001,244.10059627246517,-567.018039631719,811.1186359041842,0.0,0.0,0.8045,0.0,0.0,120.0
81,4.25,-2991.5146399667224,3.0,Moscow,-3002.602625695406,11.08798572868385,[ 0. 22.],11.0,[390000. 494000.],442000.0,personal_vehicle,business,6.159299344000001,42.53359136048486,-705.3350445436994,747.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
82,4.25,-2962.9297222370565,3.0,Moscow,-2982.46020796574,19.53048572868385,[22. 44.],33.0,[390000. 494000.],442000.0,personal_vehicle,business,10.474298032,53.74416054675902,-699.6244753574251,753.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
83,4.25,-2910.443066406211,3.0,Moscow,-2938.416052134895,27.972985728683852,[44. 66.],55.0,[390000. 494000.],442000.0,personal_vehicle,business,14.78929672,70.57866810978153,-688.2899677944026,758.8686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
84,4.25,-2860.9878636107073,3.0,Moscow,-2897.4033493393913,36.41548572868385,[66. 88.],77.0,[390000. 494000.],442000.0,personal_vehicle,business,19.104295408000002,86.69989260566487,-677.6687432985193,764.3686359041842,0.0,0.0,0.8045,0.0,0.0,120.0
